"workerid","property","response","object"
36,"is tall","relative to other buildings","Empire State Building"
37,"is tall","relative to other buildings","Empire State Building"
38,"is tall","relative to other buildings","Empire State Building"
39,"is tall","relative to other buildings","Empire State Building"
40,"is tall","relative to other buildings","Empire State Building"
41,"is tall","relative to other buildings","Empire State Building"
42,"is tall","relative to other buildings","Empire State Building"
43,"is tall","relative to other buildings","Empire State Building"
44,"is tall","relative to other buildings","Empire State Building"
45,"is tall","relative to other buildings","Empire State Building"
46,"is tall","relative to other buildings","Empire State Building"
47,"is tall","relative to other buildings","Empire State Building"
48,"is tall","relative to other buildings","Empire State Building"
49,"is tall","relative to other buildings","Empire State Building"
50,"is tall","relative to other buildings","Empire State Building"
51,"is tall","relative to other buildings","Empire State Building"
52,"is tall","relative to other buildings","Empire State Building"
53,"is tall","relative to other buildings","Empire State Building"
54,"is tall","relative to other buildings","Empire State Building"
55,"is tall","relative to other buildings","Empire State Building"
56,"is tall","relative to other buildings","Empire State Building"
57,"is tall","relative to other buildings","Empire State Building"
58,"is tall","relative to other buildings","Empire State Building"
59,"is tall","relative to other buildings","Empire State Building"
60,"is tall","relative to other buildings","Empire State Building"
61,"is tall","relative to other buildings","Empire State Building"
62,"is tall","relative to other buildings","Empire State Building"
63,"is tall","relative to other buildings","Empire State Building"
64,"is tall","relative to other buildings","Empire State Building"
65,"is tall","relative to other buildings","Empire State Building"
66,"is tall","relative to other buildings","Empire State Building"
67,"is tall","relative to other buildings","Empire State Building"
68,"is tall","relative to other buildings","Empire State Building"
69,"is tall","relative to other buildings","Empire State Building"
70,"is tall","relative to other buildings","Empire State Building"
71,"is tall","relative to other buildings","Empire State Building"
72,"is tall","relative to other buildings","Empire State Building"
73,"is tall","relative to other buildings","Empire State Building"
74,"is tall","relative to other buildings","Empire State Building"
75,"is tall","relative to other buildings","Empire State Building"
76,"is tall","relative to other buildings","Empire State Building"
77,"is tall","relative to other buildings","Empire State Building"
78,"is tall","relative to other buildings","Empire State Building"
79,"is tall","relative to other buildings","Empire State Building"
80,"is tall","relative to other buildings","Empire State Building"
81,"is tall","relative to other buildings","Empire State Building"
82,"is tall","relative to other buildings","Empire State Building"
83,"is tall","relative to other buildings","Empire State Building"
84,"is tall","relative to other buildings","Empire State Building"
85,"is tall","relative to other buildings","Empire State Building"
86,"is tall","relative to other buildings","Empire State Building"
87,"is tall","relative to other buildings","Empire State Building"
88,"is tall","relative to other buildings","Empire State Building"
89,"is tall","relative to other buildings","Empire State Building"
90,"is tall","relative to other buildings","Empire State Building"
91,"is tall","relative to other buildings","Empire State Building"
92,"is tall","relative to other buildings","Empire State Building"
93,"is tall","relative to other buildings","Empire State Building"
94,"is tall","relative to other buildings","Empire State Building"
95,"is tall","relative to other buildings","Empire State Building"
96,"is tall","relative to other buildings","Empire State Building"
97,"is tall","relative to other buildings","Empire State Building"
98,"is tall","relative to other buildings","Empire State Building"
99,"is tall","relative to other buildings","Empire State Building"
100,"is tall","relative to other buildings","Empire State Building"
101,"is tall","relative to other buildings","Empire State Building"
102,"is tall","relative to other buildings","Empire State Building"
103,"is tall","relative to other buildings","Empire State Building"
104,"is tall","relative to other buildings","Empire State Building"
105,"is tall","relative to other buildings","Empire State Building"
106,"is tall","relative to other buildings","Empire State Building"
107,"is tall","relative to other buildings","Empire State Building"
108,"is tall","relative to other buildings","Empire State Building"
109,"is tall","relative to other buildings","Empire State Building"
110,"is tall","relative to other buildings","Empire State Building"
111,"is tall","relative to other buildings","Empire State Building"
112,"is tall","relative to other buildings","Empire State Building"
113,"is tall","relative to other buildings","Empire State Building"
114,"is tall","relative to other buildings","Empire State Building"
115,"is tall","relative to other buildings","Empire State Building"
116,"is tall","relative to other buildings","Empire State Building"
117,"is tall","relative to other buildings","Empire State Building"
118,"is tall","relative to other buildings","Empire State Building"
119,"is tall","relative to other buildings","Empire State Building"
120,"is tall","relative to other buildings","Empire State Building"
121,"is tall","relative to other buildings","Empire State Building"
122,"is tall","relative to other buildings","Empire State Building"
123,"is tall","relative to other buildings","Empire State Building"
124,"is tall","relative to other buildings","Empire State Building"
125,"is tall","relative to other buildings","Empire State Building"
126,"is tall","relative to other buildings","Empire State Building"
127,"is tall","relative to other buildings","Empire State Building"
128,"is tall","relative to other buildings","Empire State Building"
129,"is tall","relative to other buildings","Empire State Building"
130,"is tall","relative to other buildings","Empire State Building"
131,"is tall","relative to other buildings","Empire State Building"
132,"is tall","relative to other buildings","Empire State Building"
133,"is tall","relative to other buildings","Empire State Building"
134,"is tall","relative to other buildings","Empire State Building"
135,"is tall","relative to other buildings","Empire State Building"
136,"is tall","relative to other buildings","Empire State Building"
137,"is tall","relative to other buildings","Empire State Building"
138,"is tall","relative to other buildings","Empire State Building"
139,"is tall","relative to other buildings","Empire State Building"
140,"is tall","relative to other buildings","Empire State Building"
141,"is tall","relative to other buildings","Empire State Building"
142,"is tall","relative to other buildings","Empire State Building"
143,"is tall","relative to other buildings","Empire State Building"
144,"is tall","relative to other buildings","Empire State Building"
145,"is tall","relative to other buildings","Empire State Building"
146,"is tall","relative to other buildings","Empire State Building"
147,"is tall","relative to other buildings","Empire State Building"
148,"is tall","relative to other buildings","Empire State Building"
149,"is tall","relative to other buildings","Empire State Building"
150,"is tall","relative to other buildings","Empire State Building"
151,"is tall","relative to other buildings","Empire State Building"
152,"is tall","relative to other buildings","Empire State Building"
153,"is tall","relative to other buildings","Empire State Building"
154,"is tall","relative to other buildings","Empire State Building"
155,"is tall","relative to other buildings","Empire State Building"
156,"is tall","relative to other buildings","Empire State Building"
157,"is tall","relative to other buildings","Empire State Building"
158,"is tall","relative to other buildings","Empire State Building"
159,"is tall","relative to other buildings","Empire State Building"
160,"is tall","relative to other buildings","Empire State Building"
161,"is tall","relative to other buildings","Empire State Building"
162,"is tall","relative to other pineapples","Empire State Building"
163,"is tall","relative to other buildings","Empire State Building"
164,"is tall","relative to other buildings","Empire State Building"
165,"is tall","relative to other buildings","Empire State Building"
166,"is tall","relative to other buildings","Empire State Building"
167,"is tall","relative to other buildings","Empire State Building"
168,"is tall","relative to other buildings","Empire State Building"
169,"is tall","relative to other buildings","Empire State Building"
170,"is tall","relative to other buildings","Empire State Building"
171,"is tall","relative to other buildings","Empire State Building"
172,"is tall","relative to other buildings","Empire State Building"
173,"is tall","relative to other buildings","Empire State Building"
174,"is tall","relative to other buildings","Empire State Building"
175,"is tall","relative to other buildings","Empire State Building"
176,"is tall","relative to other buildings","Empire State Building"
177,"is tall","relative to other buildings","Empire State Building"
178,"is tall","relative to other buildings","Empire State Building"
179,"is tall","relative to other buildings","Empire State Building"
180,"is tall","relative to other buildings","Empire State Building"
181,"is tall","relative to other buildings","Empire State Building"
182,"is tall","relative to other buildings","Empire State Building"
183,"is tall","relative to other buildings","Empire State Building"
184,"is tall","relative to other buildings","Empire State Building"
185,"is tall","relative to other buildings","Empire State Building"
186,"is tall","relative to other buildings","Empire State Building"
187,"is tall","relative to other buildings","Empire State Building"
188,"is tall","relative to other buildings","Empire State Building"
189,"is tall","relative to other buildings","Empire State Building"
190,"is tall","relative to other buildings","Empire State Building"
191,"is tall","relative to other buildings","Empire State Building"
192,"is tall","relative to other buildings","Empire State Building"
193,"is tall","relative to other buildings","Empire State Building"
194,"is tall","relative to other buildings","Empire State Building"
195,"is tall","relative to other buildings","Empire State Building"
196,"is tall","relative to other buildings","Empire State Building"
197,"is tall","relative to other buildings","Empire State Building"
198,"is tall","relative to other buildings","Empire State Building"
199,"is tall","relative to other buildings","Empire State Building"
200,"is tall","relative to other buildings","Empire State Building"
201,"is tall","relative to other buildings","Empire State Building"
202,"is tall","relative to other buildings","Empire State Building"
203,"is tall","relative to other pineapples","Empire State Building"
204,"is tall","relative to other buildings","Empire State Building"
205,"is tall","relative to other buildings","Empire State Building"
206,"is tall","relative to other buildings","Empire State Building"
207,"is tall","relative to other buildings","Empire State Building"
208,"is tall","relative to other buildings","Empire State Building"
209,"is tall","relative to other buildings","Empire State Building"
210,"is tall","relative to other buildings","Empire State Building"
211,"is tall","relative to other buildings","Empire State Building"
212,"is tall","relative to other buildings","Empire State Building"
213,"is tall","relative to other buildings","Empire State Building"
214,"is tall","relative to other buildings","Empire State Building"
215,"is tall","relative to other buildings","Empire State Building"
216,"is tall","relative to other buildings","Empire State Building"
217,"is tall","relative to other buildings","Empire State Building"
218,"is tall","relative to other buildings","Empire State Building"
219,"is tall","relative to other buildings","Empire State Building"
220,"is tall","relative to other buildings","Empire State Building"
221,"is tall","relative to other buildings","Empire State Building"
222,"is tall","relative to other buildings","Empire State Building"
223,"is tall","relative to other buildings","Empire State Building"
224,"is tall","relative to other buildings","Empire State Building"
225,"is tall","relative to other buildings","Empire State Building"
226,"is tall","relative to other buildings","Empire State Building"
227,"is tall","relative to other buildings","Empire State Building"
228,"is tall","relative to other buildings","Empire State Building"
229,"is tall","relative to other buildings","Empire State Building"
230,"is tall","relative to other buildings","Empire State Building"
231,"is tall","relative to other buildings","Empire State Building"
232,"is tall","relative to other buildings","Empire State Building"
233,"is tall","relative to other buildings","Empire State Building"
234,"is tall","relative to other buildings","Empire State Building"
235,"is tall","relative to other buildings","Empire State Building"
236,"is tall","relative to other buildings","Empire State Building"
237,"is tall","relative to other buildings","Empire State Building"
238,"is tall","relative to other buildings","Empire State Building"
239,"is tall","relative to other buildings","Empire State Building"
240,"is tall","relative to other buildings","Empire State Building"
241,"is tall","relative to other buildings","Empire State Building"
242,"is tall","relative to other buildings","Empire State Building"
243,"is tall","relative to other buildings","Empire State Building"
244,"is tall","relative to other buildings","Empire State Building"
245,"is tall","relative to other buildings","Empire State Building"
246,"is tall","relative to other buildings","Empire State Building"
247,"is tall","relative to other buildings","Empire State Building"
248,"is tall","relative to other buildings","Empire State Building"
249,"is tall","relative to other buildings","Empire State Building"
250,"is tall","relative to other buildings","Empire State Building"
251,"is tall","relative to other buildings","Empire State Building"
252,"is tall","relative to other buildings","Empire State Building"
253,"is tall","relative to other buildings","Empire State Building"
254,"is tall","relative to other buildings","Empire State Building"
255,"is tall","relative to other buildings","Empire State Building"
256,"is tall","relative to other buildings","Empire State Building"
257,"is tall","relative to other buildings","Empire State Building"
258,"is tall","relative to other buildings","Empire State Building"
259,"is tall","relative to other buildings","Empire State Building"
260,"is tall","relative to other buildings","Empire State Building"
261,"is tall","relative to other buildings","Empire State Building"
262,"is tall","relative to other buildings","Empire State Building"
263,"is tall","relative to other buildings","Empire State Building"
264,"is tall","relative to other buildings","Empire State Building"
265,"is tall","relative to other buildings","Empire State Building"
266,"is tall","relative to other buildings","Empire State Building"
267,"is tall","relative to other buildings","Empire State Building"
268,"is tall","relative to other buildings","Empire State Building"
269,"is tall","relative to other buildings","Empire State Building"
270,"is tall","relative to other buildings","Empire State Building"
271,"is tall","relative to other buildings","Empire State Building"
272,"is tall","relative to other buildings","Empire State Building"
273,"is tall","relative to other buildings","Empire State Building"
274,"is tall","relative to other buildings","Empire State Building"
275,"is tall","relative to other buildings","Empire State Building"
276,"is tall","relative to other buildings","Empire State Building"
277,"is tall","relative to other buildings","Empire State Building"
278,"is tall","relative to other buildings","Empire State Building"
279,"is tall","relative to other buildings","Empire State Building"
280,"is tall","relative to other buildings","Empire State Building"
281,"is tall","relative to other buildings","Empire State Building"
282,"is tall","relative to other buildings","Empire State Building"
283,"is tall","relative to other buildings","Empire State Building"
284,"is tall","relative to other buildings","Empire State Building"
285,"is tall","relative to other buildings","Empire State Building"
286,"is tall","relative to other buildings","Empire State Building"
287,"is tall","relative to other buildings","Empire State Building"
288,"is tall","relative to other buildings","Empire State Building"
289,"is tall","relative to other buildings","Empire State Building"
290,"is tall","relative to other buildings","Empire State Building"
291,"is tall","relative to other buildings","Empire State Building"
292,"is tall","relative to other buildings","Empire State Building"
293,"is tall","relative to other buildings","Empire State Building"
294,"is tall","relative to other buildings","Empire State Building"
295,"is tall","relative to other buildings","Empire State Building"
296,"is tall","relative to other buildings","Empire State Building"
297,"is tall","relative to other buildings","Empire State Building"
298,"is tall","relative to other buildings","Empire State Building"
299,"is tall","relative to other buildings","Empire State Building"
