"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"English",1,"Female","48","No","No","Yes",".50",1
1,"English",1,"Male","35","","","Yes","60 cents",3
2,"English",1,"Male","26","No","","Yes","0.75",3
3,"English",2,"Male","29","no","","Yes","0.5",2
4,"English",2,"Male","21","no","","Yes",".50",2
5,"English",2,"Female","38","no","","Yes",".5",2
6,"English",2,"Male","38","no","thanks","Yes","0.65",1
7,"English",2,"Female","34","none","Thank you!","Yes",".5",3
8,"english",1,"Female","34","no","","Yes","0.50",4
9,"English",2,"Female","20","","","Yes","0.35",2
10,"english",1,"Male","38","no","","Yes","0.50",4
11,"English",2,"Male","31","no","","Yes","0.50",4
12,"English",2,"Male","22","","","Yes",".5",3
13,"English",2,"Male","26","No.","This was a good hit.","No",".50",3
14,"English",1,"Female","31","No","","Yes","1.00",2
15,"English",2,"Female","44","no","","Yes",".60",2
16,"English",2,"Male","75","no","Good job.","Yes",".50",2
17,"English",2,"Male","26","None","","Yes","Yes",3
18,"english",1,"Male","35","","","Yes",".50",4
19,"English",1,"Female","27","There were no problems. Everything worked fine. ","It was fine as a study and the pay rate was fine (0.10 a minute is the minimum acceptable I&quotecharve seen people talk about on the mturk forums, if that&quotechars what you were asking about). ","Yes","0.50",3
20,"English",1,"Male","33","","","Yes","",3
21,"English",1,"Male","50","no","no","Yes","2.00",1
22,"English",1,"Male","31","None","","Yes","0.50",3
23,"English",1,"Female","55","no","no","Yes","it&quotechars ok",2
24,"english",1,"Female","35","No","","Yes",".50",2
25,"English",2,"Female","43","None","None. Good luck. ","Yes","Yes",4
26,"englsh",1,"Male","23","","","Yes","eh",3
27,"English",1,"Male","31","no","","Yes","2.00",2
28,"english",2,"Female","32","There were not","Thank You","Yes",".50",3
29,"English",2,"Male","24","No","Thanks!","Yes","50-75 cents",2
30,"English",1,"Female","36","No","","Yes","0.50",3
31,"English",1,"Male","25","no","","Yes","0.50",3
32,"English",2,"Male","45","no","","Yes",".50",4
33,"English",2,"Male","26","NO","Thanks","Yes","50 cents",1
34,"English",2,"Male","48","","","Yes",".50",4
35,"English",2,"Male","28",NA,"","Yes",".50",3
36,"english",2,"Male","41","no","","Yes",".50",2
37,"English",2,"Female","32","No.","","Yes","50 cents",3
38,"English",1,"Female","36","None","","Yes","0.50",3
39,"English",2,"Male","38","nO.","Thanks!","Yes","Very mush so.  ",4
40,"English",2,"Male","23","No","Thank you!","Yes","0.75",3
41,"english",1,"Female","26","no","","Yes",".60",2
42,"English",2,"Female","49","","","Yes","",4
43,"english",2,"Female","30","no","no","Yes","yes",2
44,"english",2,"Male","29","No problems.","Thanks!","No","0.50",4
45,"english",2,"Male","30","no","","Yes","$.50",3
46,"English",1,"Male","27","No","","Yes","yes",2
47,"English",2,"Female","43","None","","Yes",".50",2
48,"English",2,"Male","58","No","","Yes",".50",2
49,"English",1,"Female","55","no","","Yes","yes",3
50,"English",1,"Male","27","No.","No comments.","Yes","0.60",3
51,"english",2,"Female","25","","","No","",2
52,"English",1,"Female","24","No problems","","Yes",".50",2
53,"English",2,"Male","27","no","","Yes",".75",2
54,"english",2,"Female","41","","","Yes","1.00",3
55,"English",2,"Female","34","No","Hope you have more similar HITS :)","Yes",".75",1
56,"English",2,"Female","32","No","This was really fun and interesting to think about, thanks.","Yes",".50",2
57,"English",1,"Female","41","no","Good luck with your research","Yes",".75",3
58,"English",1,"Male","30","no","","Yes","50 cents",3
59,"english",2,"Female","23","no","","Yes","50 cents is perfect",2
60,"English",1,"Male","26","No","Thank you!","Yes","0.50",2
61,"English",1,"Male","27","No","Thanks","Yes","0.75",3
62,"English",2,"Female","45","No bugs it went smooth.","Thanks, I love language related tasks.","Yes","1.00",3
63,"English",1,"Female","23","",NA,"Yes","0.5",3
64,"English",2,"Female","41","no",NA,"Yes","0.5",3
65,"English",1,"Male","39","no",NA,"Yes","0.5",1
66,"english",2,"Female","23","none",NA,"Yes",NA,2
67,"english",1,"Female","37","",NA,"Yes","0.5",3
68,"English",2,"Male","30","No",NA,"Yes","0.5",2
69,"English",2,"Male","23","No",NA,"Yes","0.5",1
70,"English",1,"Male","36","",NA,"Yes","0.5",2
71,"english",1,"Male","32","",NA,"Yes",NA,3
72,"English",2,"Male","36","No","","Yes","0.50",4
73,"English",2,"Male","67","no problems","","Yes",".50",1
74,"English",2,"Female","37","N/A","N/A","Yes","$0.50",3
