"workerid","strength","trial_num","target","degree","paraphrase0","gender","contextWithSuper","adjective","super_category","form","names","context","paraphrase1","paraphrase","contextWithSuperPronoun","condition","sub_category"
36,1,1,"expensive","price","super","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Monica"," finds a bottle opener and looks at the price.","sub_plural","sub_plural","","context","bottle opener"
36,1,2,"heavy","weight","super","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Kim"," picks up a grape.","sub_plural","super","","context","grape"
36,2,3,"cheap","price","super","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Lucas"," finds a toaster and looks at the price.","sub_plural","super","","context","toaster"
36,2,4,"heavy","weight","super","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Greg"," picks up an apple.","sub_plural","sub_plural","","context","apple"
36,2,5,"warm","temperature","super","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Michael"," lives in Maryland and steps outside in Fall.","sub_plural","sub_plural","","context","day in Fall"
36,3,6,"short","time","super","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Gary"," finds a movie to watch online with their friend.","sub_plural","super","","context","movie"
36,3,7,"light","weight","super","male"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Robert"," picks up a watermelon.","sub_plural","super","","context","watermelon"
36,3,8," tall","height","super","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Kim"," sees a professional basketball player.","sub_plural","super","","context","basketball player"
36,1,9,"cold","temperature","super","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Jasmine"," lives in Maryland and steps outside in Winter.","sub_plural","sub_plural","","context","day in Winter"
36,1,10," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Lee"," sees a professional gymnast.","sub_plural","super","","context","gymnast"
36,1,11,"long","time","super","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Melinda"," finds a video of a cute animal to watch online with their friend.","sub_plural","sub_plural","","context","video of the cute animal"
36,2,12," short","height","super","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Josh"," sees a professional soccer player.","sub_plural","super","","context","soccer player"
36,3,13,"warm","temperature","super","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Eric"," lives in Maryland and steps outside in Summer.","sub_plural","sub_plural","","context","day in Summer"
36,2,14,"long","time","super","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Natalia"," finds a music video to watch online with their friend.","sub_plural","super","","context","music video"
36,3,15,"cheap","price","super","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Michelle"," finds a dishwasher and looks at the price.","sub_plural","super","","context","dishwasher"
37,3,1,"expensive","price","sub_plural","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Tanya"," finds a dishwasher and looks at the price.","super","sub_plural","She","contextWithSuper","dishwasher"
37,3,2,"light","weight","sub_plural","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Kim"," picks up a watermelon.","super","sub_plural","","contextWithSuper","watermelon"
37,1,3,"cheap","price","sub_plural","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Michelle"," finds a bottle opener and looks at the price.","super","sub_plural","She","contextWithSuper","bottle opener"
37,3,4,"warm","temperature","sub_plural","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.","warm","days of the year","positive","David"," lives in Maryland and steps outside in Summer.","super","super","He","contextWithSuper","day in Summer"
37,2,5," tall","height","sub_plural","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Laura"," sees a professional soccer player.","super","super","","contextWithSuper","soccer player"
37,1,6,"short","time","sub_plural","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Mika"," finds a video of a cute animal to watch online with their friend.","super","super","","contextWithSuper","video of the cute animal"
37,1,7,"heavy","weight","sub_plural","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Sophie"," picks up a grape.","super","sub_plural","","contextWithSuper","grape"
