"workerid","property","response","object"
0,"is orange","Yes","basketball"
1,"is orange","Yes","basketball"
2,"is orange","Yes","basketball"
3,"is orange","Yes","basketball"
4,"is orange","Yes","basketball"
5,"is orange","Yes","basketball"
6,"is orange","Yes","basketball"
7,"is orange","Yes","basketball"
8,"is orange","Yes","basketball"
9,"is orange","Yes","basketball"
10,"is orange","Yes","basketball"
11,"is orange","Yes","basketball"
12,"is orange","Yes","basketball"
13,"is orange","Yes","basketball"
14,"is orange","Yes","basketball"
15,"is orange","Yes","basketball"
16,"is orange","Yes","basketball"
17,"is orange","Yes","basketball"
18,"is orange","No","basketball"
19,"is orange","Yes","basketball"
20,"is orange","Yes","basketball"
21,"is orange","Yes","basketball"
22,"is orange","Yes","basketball"
23,"is orange","Yes","basketball"
24,"is orange","Yes","basketball"
25,"is orange","Yes","basketball"
26,"is orange","Yes","basketball"
27,"is orange","Yes","basketball"
28,"is orange","Yes","basketball"
29,"is orange","Yes","basketball"
30,"is orange","Yes","basketball"
31,"is orange","Yes","basketball"
32,"is orange","Yes","basketball"
33,"is orange","Yes","basketball"
34,"is orange","Yes","basketball"
35,"is orange","Yes","basketball"
36,"is orange","Yes","basketball"
37,"is orange","Yes","basketball"
38,"is orange","Yes","basketball"
39,"is orange","Yes","basketball"
40,"is orange","Yes","basketball"
41,"is orange","Yes","basketball"
42,"is orange","Yes","basketball"
43,"is orange","Yes","basketball"
44,"is orange","Yes","basketball"
45,"is orange","Yes","basketball"
46,"is orange","Yes","basketball"
47,"is orange","Yes","basketball"
48,"is orange","Yes","basketball"
49,"is orange","Yes","basketball"
50,"is orange","Yes","basketball"
51,"is orange","No","basketball"
52,"is orange","Yes","basketball"
53,"is orange","Yes","basketball"
54,"is orange","Yes","basketball"
55,"is orange","Yes","basketball"
56,"is orange","Yes","basketball"
57,"is orange","Yes","basketball"
58,"is orange","Yes","basketball"
59,"is orange","Yes","basketball"
60,"is orange","Yes","basketball"
61,"is orange","Yes","basketball"
62,"is orange","Yes","basketball"
63,"is orange","Yes","basketball"
64,"is orange","Yes","basketball"
65,"is orange","Yes","basketball"
66,"is orange","Yes","basketball"
67,"is orange","Yes","basketball"
68,"is orange","Yes","basketball"
69,"is orange","Yes","basketball"
70,"is orange","Yes","basketball"
71,"is orange","Yes","basketball"
72,"is orange","Yes","basketball"
73,"is orange","Yes","basketball"
74,"is orange","Yes","basketball"
75,"is orange","Yes","basketball"
76,"is orange","Yes","basketball"
77,"is orange","Yes","basketball"
78,"is orange","Yes","basketball"
79,"is orange","Yes","basketball"
80,"is orange","Yes","basketball"
81,"is orange","Yes","basketball"
82,"is orange","Yes","basketball"
83,"is orange","Yes","basketball"
84,"is orange","Yes","basketball"
85,"is orange","Yes","basketball"
86,"is orange","Yes","basketball"
87,"is orange","Yes","basketball"
88,"is orange","Yes","basketball"
89,"is orange","Yes","basketball"
90,"is orange","Yes","basketball"
91,"is orange","Yes","basketball"
92,"is orange","No","basketball"
93,"is orange","Yes","basketball"
94,"is orange","No","basketball"
95,"is orange","Yes","basketball"
96,"is orange","No","basketball"
97,"is orange","Yes","basketball"
98,"is orange","Yes","basketball"
99,"is orange","Yes","basketball"
