"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"English",2,"Male",30,"","","Yes","50 cents is a fantastic rate for the work.",3
1,"English",2,"Female",28,"None","Easy to understand and complete","Yes","40 cents",2
2,"English",2,"Male",21,"no","","Yes",".50",2
3,"english",2,"Male",35,"","","Yes",".50",3
4,"English",1,"Male",41,"n/a","","Yes",".50",3
5,"English ",1,"Male",30,"No problems occurred ","","Yes",".50",3
6,"english",2,"Male",34,"no","","Yes",".5",3
7,"english",1,"Female",43,"no","none ty","Yes","0.50",3
8,"English",2,"Male",67,"none","Thanks","Yes",".50",2
9,"English",2,"Male",28,"","","Yes","Yes",2
10,"English",1,"Male",29,"No","","Yes","Yes",-1
11,"English",1,"Male",37,"No","","Yes",".50",1
12,"English",1,"Male",24,"no","","Yes","1.00",1
13,"english",2,"Female",35,"none","","No","yes",3
14,"english",2,"Male",29,"","","Yes",".50",1
15,"English",2,"Male",42,"NO","easy.fun.","Yes",".50",1
16,"english",2,"Male",28,"no","everything was fun/fine, thank you!","Yes",".50c",3
17,"English ",1,"Male",38,"No I did not encounter any issues. ","No further comments. Thanks! ","Yes","$1.00 would have been fair.",3
18,"english",2,"Female",61,"no","","No","",3
19,"english",2,"Female",54,"no","","Yes",".50",3
20,"English",1,"Male",40,"None","","Yes","1.00",2
21,"English",2,"Male",30,"No","","Yes","$1.00",3
22,"English",1,"Female",28,"No.","N/A","Yes","0.50",2
23,"English",2,"Male",36,"nope","","Yes",".50",2
24,"English",2,"Male",36,"Nope","","Yes","50 cents",1
25,"english",1,"Female",29,"no","","Yes","yes",1
26,"english",2,"Male",23,"","","Yes",".50",3
27,"English",2,"Female",42,"No.","Thank you!","Yes","Yes",3
28,"english",2,"Male",32,"None","I did like the hit but I was confused on some of them.","Confused","0.50",2
29,"English",1,"Male",54,"No, none.","Best of luck in your research.","Yes","1.00",2
30,"English",2,"Female",23,"No","","Yes","0.50",2
31,"English",2,"Male",45,"no","","Yes",".50",4
32,"English",1,"Female",41,"No","None","Yes",".50",3
33,"eng",1,"Male",72,"no","","Yes","1.00",3
34,"English",2,"Male",34,"No","None.","Yes","0.50",1
35,"English",2,"Male",24,"no","","Yes",".65",2
36,"English",2,"Male",28,"None","","Yes","0.50",4
37,"english",2,"Male",39,"none","none","Yes",".50",3
38,"English",2,"Female",32,"No","","Yes",".50",2
39,"English",2,"Female",29,"","","Yes",".50",3
40,"English",2,"Male",26,"","","Yes","Yes",3
41,"English",2,"Male",36,"no","","Yes","50",3
42,"english",2,"Female",44,"no","","Yes","yes",3
43,"english",2,"Male",25,"no","","Yes","50 cents",2
